dataset,observable,input_val,ideal_energy,grad_param_0,grad_param_1,grad_param_2,grad_param_3,grad_param_4,grad_param_5,grad_param_6,grad_param_7,grad_param_8,grad_param_9,grad_param_10,grad_param_11
single_01,IIII,-5.0,1.0000000000000004,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0
single_01,IIII,-4.9,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,-6.661338147750939e-16,0.0,0.0,0.0,2.220446049250313e-16
single_01,IIII,-4.800000000000001,0.9999999999999996,2.220446049250313e-16,-4.440892098500626e-16,0.0,2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16
single_01,IIII,-4.700000000000001,0.9999999999999978,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,-6.661338147750939e-16,0.0,0.0,4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16
single_01,IIII,-4.600000000000001,1.0000000000000004,4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,-4.500000000000002,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0
single_01,IIII,-4.400000000000002,1.0,-4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-6.661338147750939e-16,0.0,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,-4.3000000000000025,0.9999999999999996,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,-4.200000000000003,0.9999999999999998,0.0,0.0,-4.440892098500626e-16,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0
single_01,IIII,-4.100000000000003,0.9999999999999998,0.0,0.0,0.0,2.220446049250313e-16,-2.220446049250313e-16,-8.881784197001252e-16,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16
